"","Node","group","group_color"
"1","Methanobrevibacter","None","#c7c7c7"
"2","Bifidobacterium","Up_PDvBoth","#98df8a"
"3","Adlercreutzia","None","#c7c7c7"
"4","Collinsella","Up_PDvPC","#ffbb78"
"5","Eggerthella","Up_PDvPC","#ffbb78"
"6","Gordonibacter","Up_PDvPC","#ffbb78"
"7","Bacteroides","None","#c7c7c7"
"8","Bacteroidales_noname","None","#c7c7c7"
"9","Barnesiella","None","#c7c7c7"
"10","Coprobacter","None","#c7c7c7"
"11","Odoribacter","None","#c7c7c7"
"12","Parabacteroides","None","#c7c7c7"
"13","Paraprevotella","None","#c7c7c7"
"14","Prevotella","None","#c7c7c7"
"15","Alistipes","None","#c7c7c7"
"16","Lactobacillus","Up_PDvPC","#ffbb78"
"17","Streptococcus","Up_PDvPC","#ffbb78"
"18","Clostridiaceae_noname","None","#c7c7c7"
"19","Clostridium","None","#c7c7c7"
"20","Clostridiales_noname","None","#c7c7c7"
"21","Flavonifractor","Up_PDvPC","#ffbb78"
"22","Eubacterium","Down_PDvHC","#1f77b4"
"23","Anaerostipes","None","#c7c7c7"
"24","Blautia","None","#c7c7c7"
"25","Coprococcus","None","#c7c7c7"
"26","Dorea","None","#c7c7c7"
"27","Lachnospiraceae_noname","None","#c7c7c7"
"28","Roseburia","Down_PDvPC","#ff7f0e"
"29","Oscillibacter","None","#c7c7c7"
"30","Peptostreptococcaceae_noname","None","#c7c7c7"
"31","Anaerotruncus","None","#c7c7c7"
"32","Faecalibacterium","Down_PDvPC","#ff7f0e"
"33","Ruminococcaceae_noname","None","#c7c7c7"
"34","Ruminococcus","None","#c7c7c7"
"35","Subdoligranulum","None","#c7c7c7"
"36","Coprobacillus","None","#c7c7c7"
"37","Erysipelotrichaceae_noname","None","#c7c7c7"
"38","Holdemania","None","#c7c7c7"
"39","Turicibacter","None","#c7c7c7"
"40","Acidaminococcus","None","#c7c7c7"
"41","Phascolarctobacterium","None","#c7c7c7"
"42","Dialister","None","#c7c7c7"
"43","Veillonella","None","#c7c7c7"
"44","Burkholderiales_noname","None","#c7c7c7"
"45","Oxalobacter","None","#c7c7c7"
"46","Parasutterella","None","#c7c7c7"
"47","Sutterella","Down_PDvPC","#ff7f0e"
"48","Bilophila","None","#c7c7c7"
"49","Desulfovibrio","None","#c7c7c7"
"50","Escherichia","None","#c7c7c7"
"51","Klebsiella","None","#c7c7c7"
"52","Haemophilus","None","#c7c7c7"
"53","Pseudomonas","None","#c7c7c7"
"54","Akkermansia","None","#c7c7c7"
"55","C2likevirus","None","#c7c7c7"
"56","donor_group_HC","Donor_Group","#d62728"
"57","donor_group_PC","Donor_Group","#d62728"
"58","donor_group_PD","Donor_Group","#d62728"
