# samples	total reads	total nucleotide aligned	total translated aligned	total species
PD_21_HC	4392980	2036210	2430317	52
PD_3_HC	9841984	3515808	5492697	62
PD_38_PC	5827428	2654301	3456079	49
PD_29_PC	9457416	4848694	5761202	48
PD_12_HC	9689515	3754087	5269916	51
PD_3_PC	15921975	9765262	10836792	36
PD_14	9160731	2759076	4143383	74
PD_29_HC	11070157	2924857	6443984	52
PD_21_PC	6824730	4064470	4506900	53
PD_32	12481796	5413664	6074091	68
PD_5	8086513	3036402	4030461	54
PD_30_PC	7059940	3720823	4314904	43
PD_23	9686773	2973602	4885197	73
PD_41	16096312	5104253	9078235	70
PD_12_PC	7088251	1289535	2513222	55
PD_10	7641167	3836943	4762199	46
PD_7_HC	11288906	4481084	6244525	57
PD_25_HC	7370566	3509106	4377357	46
PD_1	11351081	3591051	5541556	66
PD_16_HC	7782836	3788958	4762787	52
PD_18	9646368	2862828	5247442	71
PD_25_PC	9905325	4310174	6101276	50
PD_7_PC	13891936	3686445	7206811	66
PD_36	17742126	8548228	10686536	60
PD_9	12523078	3816953	4984368	40
PD_27	10146147	4286887	5544559	54
PD_34_PC	12693561	4930476	6995558	52
PD_16_PC	9415939	2540467	4265013	59
PD_45	15494562	7045452	8846680	63
PD_5_HC	9719130	5451127	6314186	46
PD_23_HC	10205715	3277873	5113936	55
PD_14_HC	7369829	3969182	4688538	35
PD_16	10857425	5064763	5934536	76
PD_41_PC	11080895	2033335	5014292	63
PD_34	15456224	8919571	10214484	71
PD_23_PC	13975899	7797135	9393291	56
PD_5_PC	13549501	5083273	7075929	60
PD_25	6052937	1777928	2485113	44
PD_7	9896664	2465850	4569280	84
PD_14_PC	8127788	4473477	5180384	43
PD_43	14164360	6756435	8330483	67
PD_32_PC	9798422	3976598	5141112	53
PD_12	8930937	5168278	5895803	43
PD_9_HC	6285842	2673455	3386405	45
PD_30	8513831	3044113	4547225	51
PD_1_PC	13052424	6901451	8297319	51
PD_27_HC	7425724	2884666	3766181	65
PD_21	5861705	2979878	3602340	49
PD_18_HC	7438499	2621985	3851876	61
PD_3	11572366	3907192	5882498	84
PD_10_PC	7292226	3859504	4607441	48
PD_10_HC	6352225	2739929	4024156	33
PD_38	6042677	2989907	3780339	51
PD_27_PC	8797073	1849206	3861872	58
PD_9_PC	11798676	2498908	5693872	68
PD_29	20875263	10551343	13569577	45
PD_18_PC	9600508	4587869	5850258	48
PD_1_HC	10631053	4034052	5679181	54
PD_47	16021405	8037303	10044462	71
PD_36_PC	14080653	3392812	6577808	58
PD_13_HC	7668966	2573102	4040584	57
PD_39_PC	13311183	1885925	5367385	50
PD_22_HC	7766000	3652469	4612575	44
PD_4_HC	9010349	3777038	4935605	58
PD_31_PC	6786217	3736259	4457036	40
PD_15	6101715	3477042	3962392	48
PD_33	11460659	7083305	7750471	39
PD_13_PC	8413285	3457093	4804025	48
PD_40_PC	11554804	4919587	6849983	60
PD_6	8020240	2308872	3947324	54
PD_24	11206637	4576261	5584323	64
PD_4_PC	8357488	3743609	4993979	53
PD_42	9232764	3276226	5091918	60
PD_22_PC	8491094	2029461	3945505	48
PD_11	6645136	3841521	4474126	40
PD_17_HC	6569269	2276499	3161291	55
PD_2	11431708	3763739	5612149	69
PD_20	6177739	1781437	2980893	55
PD_26_HC	8493691	3765802	5046461	59
PD_8_HC	10869110	6023101	6791365	42
PD_19	7990078	3696189	4806463	54
PD_35_PC	12974274	4766091	7203666	51
PD_17_PC	8847454	2138784	4126782	53
PD_37	6083577	2663145	3262930	60
PD_28	14093159	8600552	9788107	56
PD_8_PC	11534921	5217458	6941969	47
PD_26_PC	9143181	3759583	5188496	55
PD_46	15314670	4763401	8533983	64
PD_15_HC	10100894	4390154	5909146	63
PD_24_HC	10645621	4697944	5997542	58
PD_6_HC	10139134	4793794	6113067	55
PD_17	8936335	4590104	5469288	64
PD_15_PC	7322019	3767493	4691279	35
PD_35	14806388	3357017	7229053	65
PD_33_PC	13613260	4685420	7459678	59
PD_6_PC	10440534	1825591	4201449	70
PD_26	10042969	2237581	2754703	75
PD_24_PC	7224654	2746402	3814240	60
PD_8	11352522	7004520	7816100	37
PD_44	16957902	3716019	7155771	62
PD_19_HC	8000239	4396067	5184912	58
PD_11_PC	8490372	4158945	5769172	32
PD_13	7514906	2082798	3976056	54
PD_31	9466368	3504243	5217678	72
PD_20_PC	5261187	2334353	3106838	42
PD_28_HC	8927991	3986674	4925900	44
PD_2_PC	11299433	6250751	7260819	54
PD_22	4811861	2486163	2932985	35
PD_4	8852202	3140352	4787524	60
PD_40	4218363	1253015	1991017	67
PD_2_HC	7381600	2142387	3753425	53
PD_19_PC	11488977	5801735	6882692	51
PD_20_HC	7133962	2223474	3683085	55
PD_37_PC	5475439	2328998	2849778	53
PD_39	8170870	3322913	4685563	59
PD_28_PC	8051098	2372833	4020533	46
PD_11_HC	7516743	4547228	4997665	42
PD_48	12759937	3472552	6645153	70
